customer_id_index,product_id,rating
148,73844240,5.2315593
148,72323554,5.1787224
148,71082242,5.140719
148,67260812,5.126881
148,19395453,5.1038313
148,53760828,5.1007123
148,51737821,5.069196
148,59081231,5.050707
148,67985251,5.0423374
148,70833091,5.0397944
148,68508353,5.026183
148,7496499,5.0232706
148,8096306,5.004841
148,4597127,4.9977727
148,53035877,4.991118
148,7319551,4.989908
148,60875322,4.9869323
148,67864955,4.984834
148,68174409,4.9802303
148,44012841,4.9797816
463,72323554,5.3942204
463,73844240,5.2108912
463,71082242,5.11112
463,67260812,5.0842433
463,51737821,5.080662
463,67985251,5.046041
463,46779514,5.026137
463,68508353,5.024152
463,53760828,5.01881
463,7496499,5.018038
463,70833091,5.017362
463,50592901,5.009136
463,72520984,5.004646
463,19395453,4.9973035
463,4597127,4.9883313
463,53035877,4.983416
463,615976,4.9724026
463,49729049,4.970584
463,67864955,4.966984
463,56451960,4.9508276
471,72323554,5.183265
471,73844240,5.173794
471,70833091,5.0333357
471,67985251,5.0219517
471,4597127,5.021617
471,19395453,5.0140185
471,14186220,5.0129204
471,71082242,4.9947786
471,7496499,4.9841895
471,53760828,4.9630327
471,50698333,4.960875
471,8141062,4.9431376
471,615976,4.9384775
471,67260812,4.9363647
471,25404882,4.932417
471,72520984,4.9314065
471,51737821,4.9308114
471,49729049,4.9305644
471,46779514,4.928907
471,70767702,4.925583
496,73844240,5.1400714
496,72323554,5.0509157
496,67260812,5.018687
496,71082242,5.0014358
496,67985251,4.9850793
496,53760828,4.9745317
496,46779514,4.9550123
496,68508353,4.9492826
496,50698333,4.9480457
496,50592901,4.9356737
496,51737821,4.9352345
496,19420381,4.915217
496,70833091,4.912613
496,8096306,4.9118257
496,72520984,4.911635
496,74558974,4.9108834
496,7496499,4.9103627
496,49729049,4.907153
496,19395453,4.897334
496,4597127,4.893273
833,72323554,5.5617075
833,67985251,5.0541544
833,73844240,4.983269
833,67260812,4.940815
833,51737821,4.915288
833,53760828,4.888118
833,70833091,4.8686056
833,56451960,4.8377695
833,71082242,4.8356953
833,14186220,4.834981
833,72308418,4.830815
833,69382515,4.8260965
833,56575909,4.8243937
833,8141062,4.821084
833,53035877,4.8108773
833,4597127,4.809199
833,67864955,4.806813
833,74901879,4.806261
833,68508353,4.805137
833,66730368,4.8039274
1088,10108419,4.5024104
1088,20424158,4.3363786
1088,57624790,3.8320184
1088,23566124,3.8159862
1088,10725778,3.8035707
1088,19395453,3.7692132
1088,74558974,3.7588825
1088,7634494,3.75147
1088,50560427,3.7493355
1088,72748642,3.7419121
1088,6187847,3.724626
1088,36240066,3.7216508
