Unnamed: 0,customer_id,product_id,rating
82679,671217,234886,5
95468,12455867,26029929,5
277981,7390515,58390133,3
316427,19583552,70772235,3
150227,5479675,389145,5
346131,18682568,8141868,5
117852,19292037,3171419,5
26488,238498,13580400,5
220198,8185868,50085665,5
216753,1143323,49498981,2
336760,5174861,7734288,5
277894,63897,58390133,5
361748,250394,9830444,4
269965,20498842,57452525,5
112755,7953938,299461,5
50427,17118808,17019841,4
239322,9690,53080935,5
184812,1341676,45695395,5
170878,8734419,43048676,5
84887,15018461,24408779,5
92705,14507212,25656707,4
355553,8145881,899588,4
23315,7408251,126003,4
349910,19048727,8294726,5
162283,415997,41574489,4
242373,8162544,53704413,5
90884,8428578,2533165,5
190205,9367223,46563491,5
237782,6040019,52769271,5
228523,10770157,51511070,5
274102,14069510,58215473,5
67489,17958805,20478281,5
207414,578011,48524359,5
104051,203481,28736624,5
163008,735549,416613,5
301056,14712589,66425192,5
158342,6088720,41167737,5
252685,9102922,54763817,5
296800,7902446,64441281,5
211040,271339,487524,5
5559,464717,1059892,5
10321,497042,10849274,1
79519,8431159,23291246,3
240736,19664504,53547831,5
281355,9077031,58986461,5
347757,7543694,8144693,5
12704,13029152,11216859,1
244396,785909,54017350,5
349259,1045916,816127,5
103092,966222,2860621,5
89939,12383478,25171293,5
118984,1204108,32033730,5
128984,7631596,35420153,5
125393,15357379,33911924,5
45439,12358213,1600005,5
350830,7532210,8326109,5
208751,17990810,48701295,1
43736,11341116,1600005,5
327790,198486,73242961,4
156918,682918,40639597,5
143244,1957925,375565,5
159794,17278997,41319582,4
192346,12789477,46650998,3
235705,6487668,52487273,1
309082,13171347,68088752,5
194330,19847164,46755511,1
226151,19291934,50937043,4
133910,12020072,35726089,5
187236,13112000,459840,5
323081,7800864,71952008,4
288395,6902651,6009539,5
298360,921010,646020,5
144038,1291416,37792470,5
31929,9886375,1457747,5
333630,20735551,75551911,5
172328,8227398,43107185,4
257299,6357072,554912,5
193842,8507702,46753117,5
248571,13072488,54534507,4
287931,14339232,60039590,5
249033,19278252,54616635,3
287573,5412873,5987217,5
314990,13802611,703761,4
303232,8138458,67056051,5
187903,5514673,461040,5
54041,7352168,17629146,5
191005,7575854,46621334,5
128299,6149479,35339655,5
156303,18638313,405252,4
831,19248186,10001382,5
259421,7566829,556922,4
313464,12460338,69271416,5
313924,785614,702132,1
252335,1273017,547563,5
208581,10597443,486766,5
79746,14541493,23292023,5
344451,16315289,8122678,5
239522,9797961,53082795,5
342024,11298361,7932267,5
269497,5211806,57440329,5
170838,743003,43017581,5
228684,6537251,51553387,5
71851,14448944,21017060,4
268775,6889539,57316596,5
115133,962126,310993,4
114274,5356665,3054369,5
253387,410467,548545,2
151739,7935262,38997194,5
183298,1064069,455445,5
149606,1451013,389145,4
116621,8905395,311940,5
244822,694093,54017350,5
199136,9904460,47321729,5
181663,5087504,4529161,5
232829,17250973,52087768,5
124917,10509893,33421701,5
188587,71831,465219,5
178564,1045138,447634,5
340054,2093971,7820533,5
361450,436336,9802393,4
60183,14513456,19408798,5
150949,11618094,389145,5
211167,15153244,487524,5
281699,15670045,5899509,5
44335,10281670,1600005,5
33201,19815382,14790642,3
159190,19269171,41318362,5
244712,1922066,54017350,5
158505,20253305,41169027,4
338103,17465517,7749111,5
238022,1378216,52846433,4
200804,18410192,47868431,4
361134,19062529,975370,5
87079,1072793,24852048,5
19360,12406814,12204837,3
125050,15282672,33740550,5
167124,19537565,42003599,3
263760,11345896,56458881,5
106528,405671,299431,4
147986,19678549,38458616,2
40843,720691,15377266,4
15604,12976799,11477102,4
113925,642436,3054369,5
358216,267528,916784,5
8548,15981127,10724668,1
193086,900597,46753117,5
39595,19775748,15266469,5
39416,12084000,15246396,1
288669,674951,6012645,5
221226,5957667,502113,5
28977,17783940,14069536,5
316129,692426,70771651,5
36007,9764915,15013997,5
95664,202970,26093257,4
325215,19572361,72560404,5
42368,16389583,1582161,3
195663,6434000,4688661,5
164054,6468995,416911,4
124873,14542684,33360472,5
163164,922368,416613,4
218093,15641785,49728912,4
71618,19761545,21017060,3
316531,14387754,70772235,5
79238,9051246,23068516,5
351916,8919708,8470266,3
71616,17399225,21017060,5
347784,12263849,8157792,4
322874,15541638,71938293,5
97016,15751324,26348659,5
54862,5381743,17629257,5
343472,16719608,8021522,3
225720,7929891,508536,5
281244,17684654,58930785,5
164149,13664114,416911,5
203266,12616648,481402,4
6137,6745683,1060082,5
199666,7591144,47450066,5
252494,16929350,547563,3
46482,18017698,16217071,3
214440,1140746,49020913,5
200707,15120767,47815131,5
226827,875049,511328,5
105049,19008882,29240829,4
142315,17152621,37293702,5
317,2210597,10001353,4
101180,71582,2774881,4
38084,7073967,1517005,5
229915,19963347,51593115,4
295714,17557737,6398873,5
62220,6251341,19772651,5
351416,7423834,8428670,5
103339,11096619,2860621,5
262654,8419801,561957,3
175754,16626949,44106406,1
28247,474603,14033612,5
308722,860342,680611,5
27733,999326,13856052,5
141028,19782264,36780619,5
348997,18403510,8159799,4
353304,1802517,855018,3
135457,1110228,35920722,5
317023,10159403,708026,4
298669,12434835,6478415,4
167470,699912,4210927,5
342788,2163016,7994852,5
83115,14674942,23503622,4
176987,1213614,44227610,5
164277,16483971,416914,5
66235,930769,20393324,4
312623,10942865,6910261,5
272757,7863427,57865557,4
129080,12192620,35460128,5
75517,11658440,21921714,1
335906,7282422,7634494,3
142834,2122157,37474291,5
43190,12687386,1600005,5
95526,18616060,26029929,5
27518,12072892,13781962,5
141778,14258778,3716571,1
152024,2029344,39056842,5
352933,5522516,855018,5
227394,18867684,51198977,4
305806,13146874,6771887,5
156569,1631222,405252,5
13913,9141857,11254535,5
44244,8106087,1600005,5
129938,1501259,356188,5
336271,10740025,76480235,5
335820,5341497,76297472,5
323661,1674927,72290186,5
309429,10078605,68125768,2
121306,7475898,32399542,4
157820,12399977,41098424,5
357329,7075999,916784,5
110920,8690399,299461,5
7251,7737978,10683352,5
282045,1209789,59050694,5
104985,7622944,29240829,5
14360,11990545,11387160,5
308738,1072441,680611,5
262213,611753,561924,5
210040,18474627,487511,5
51076,7471960,17019841,3
38161,251026,1517005,5
15506,1549627,11477102,5
216609,7836603,49498981,3
134446,1365416,35726089,5
337970,1618560,7749111,5
348595,5288235,8159799,5
272360,19516391,57742831,2
